Date,Branch,Product,Qty,Sales,Month,Week,Weekday,Weekend,Branch_encoded,Product_encoded,month,day,dayofweek,is_weekend,week,year,Forecast_Sales
2020-01-01,North Side,Barfi,32.0,10752.0,January,1,2.0,Weekday,2.0,0.0,1,1,2.0,0.0,1,2020,9590.82730952381
2020-01-01,City Center,Barfi,19.0,5149.0,January,1,2.0,Weekday,0.0,0.0,1,1,2.0,0.0,1,2020,9590.82730952381
2020-01-01,Main Branch,Barfi,46.0,13064.0,January,1,2.0,Weekday,1.0,0.0,1,1,2.0,0.0,1,2020,9590.82730952381
2020-01-02,City Center,Barfi,26.0,7748.0,January,1,3.0,Weekday,0.0,0.0,1,2,3.0,0.0,1,2020,10060.021666666666
2020-01-02,North Side,Barfi,45.0,14760.0,January,1,3.0,Weekday,2.0,0.0,1,2,3.0,0.0,1,2020,10060.021666666666
2020-01-02,Main Branch,Barfi,38.0,7562.0,January,1,3.0,Weekday,1.0,0.0,1,2,3.0,0.0,1,2020,10060.021666666666
2020-01-03,City Center,Barfi,28.0,4396.0,January,1,4.0,Weekday,0.0,0.0,1,3,4.0,0.0,1,2020,5293.374452380951
2020-01-03,North Side,Barfi,16.0,4784.0,January,1,4.0,Weekday,2.0,0.0,1,3,4.0,0.0,1,2020,5293.374452380951
2020-01-03,Main Branch,Barfi,17.0,5202.0,January,1,4.0,Weekday,1.0,0.0,1,3,4.0,0.0,1,2020,5293.374452380951
2020-01-04,North Side,Barfi,50.0,11250.0,January,1,5.0,Weekend,2.0,0.0,1,4,5.0,1.0,1,2020,12215.864006493506
2020-01-04,City Center,Barfi,36.0,10224.0,January,1,5.0,Weekend,0.0,0.0,1,4,5.0,1.0,1,2020,12215.864006493506
2020-01-04,Main Branch,Barfi,61.0,15555.0,January,1,5.0,Weekend,1.0,0.0,1,4,5.0,1.0,1,2020,12215.864006493506
2020-01-05,City Center,Barfi,70.0,17220.0,January,1,6.0,Weekend,0.0,0.0,1,5,6.0,1.0,1,2020,19303.058150793648
2020-01-05,North Side,Barfi,58.0,18792.0,January,1,6.0,Weekend,2.0,0.0,1,5,6.0,1.0,1,2020,19303.058150793648
2020-01-05,Main Branch,Barfi,82.0,24682.0,January,1,6.0,Weekend,1.0,0.0,1,5,6.0,1.0,1,2020,19303.058150793648
2020-01-06,North Side,Barfi,49.0,7595.0,January,2,0.0,Weekday,2.0,0.0,1,6,0.0,0.0,2,2020,7971.620634920638
2020-01-06,City Center,Barfi,46.0,11500.0,January,2,0.0,Weekday,0.0,0.0,1,6,0.0,0.0,2,2020,7971.620634920638
2020-01-06,Main Branch,Barfi,17.0,4590.0,January,2,0.0,Weekday,1.0,0.0,1,6,0.0,0.0,2,2020,7971.620634920638
2020-01-07,North Side,Barfi,32.0,7488.0,January,2,1.0,Weekday,2.0,0.0,1,7,1.0,0.0,2,2020,8640.385071428573
2020-01-07,City Center,Barfi,52.0,15808.0,January,2,1.0,Weekday,0.0,0.0,1,7,1.0,0.0,2,2020,8640.385071428573
2020-01-07,Main Branch,Barfi,15.0,3645.0,January,2,1.0,Weekday,1.0,0.0,1,7,1.0,0.0,2,2020,8640.385071428573
2020-01-08,North Side,Barfi,43.0,11567.0,January,2,2.0,Weekday,2.0,0.0,1,8,2.0,0.0,2,2020,10015.644023809526
2020-01-08,City Center,Barfi,20.0,5180.0,January,2,2.0,Weekday,0.0,0.0,1,8,2.0,0.0,2,2020,10015.644023809526
2020-01-08,Main Branch,Barfi,45.0,13275.0,January,2,2.0,Weekday,1.0,0.0,1,8,2.0,0.0,2,2020,10015.644023809526
2020-01-09,City Center,Barfi,27.0,7857.0,January,2,3.0,Weekday,0.0,0.0,1,9,3.0,0.0,2,2020,7196.051166666667
2020-01-09,North Side,Barfi,24.0,7872.0,January,2,3.0,Weekday,2.0,0.0,1,9,3.0,0.0,2,2020,7196.051166666667
2020-01-09,Main Branch,Barfi,23.0,5451.0,January,2,3.0,Weekday,1.0,0.0,1,9,3.0,0.0,2,2020,7196.051166666667
2020-01-10,North Side,Barfi,25.0,6600.0,January,2,4.0,Weekday,2.0,0.0,1,10,4.0,0.0,2,2020,9723.67585714285
2020-01-10,City Center,Barfi,40.0,13920.0,January,2,4.0,Weekday,0.0,0.0,1,10,4.0,0.0,2,2020,9723.67585714285
2020-01-10,Main Branch,Barfi,26.0,7046.0,January,2,4.0,Weekday,1.0,0.0,1,10,4.0,0.0,2,2020,9723.67585714285
2020-01-11,North Side,Barfi,38.0,7030.0,January,2,5.0,Weekend,2.0,0.0,1,11,5.0,1.0,2,2020,12144.080896825397
2020-01-11,City Center,Barfi,48.0,15504.0,January,2,5.0,Weekend,0.0,0.0,1,11,5.0,1.0,2,2020,12144.080896825397
2020-01-11,Main Branch,Barfi,55.0,13310.0,January,2,5.0,Weekend,1.0,0.0,1,11,5.0,1.0,2,2020,12144.080896825397
2020-01-12,North Side,Barfi,47.0,9447.0,January,2,6.0,Weekend,2.0,0.0,1,12,6.0,1.0,2,2020,11319.196690476192
2020-01-12,City Center,Barfi,73.0,14016.0,January,2,6.0,Weekend,0.0,0.0,1,12,6.0,1.0,2,2020,11319.196690476192
2020-01-12,Main Branch,Barfi,63.0,10962.0,January,2,6.0,Weekend,1.0,0.0,1,12,6.0,1.0,2,2020,11319.196690476192
2020-01-13,North Side,Barfi,16.0,2608.0,January,3,0.0,Weekday,2.0,0.0,1,13,0.0,0.0,3,2020,7359.0108809523845
2020-01-13,City Center,Barfi,21.0,6636.0,January,3,0.0,Weekday,0.0,0.0,1,13,0.0,0.0,3,2020,7359.0108809523845
2020-01-13,Main Branch,Barfi,54.0,13824.0,January,3,0.0,Weekday,1.0,0.0,1,13,0.0,0.0,3,2020,7359.0108809523845
2020-01-14,North Side,Barfi,54.0,16416.0,January,3,1.0,Weekday,2.0,0.0,1,14,1.0,0.0,3,2020,13305.293476190478
2020-01-14,City Center,Barfi,47.0,9259.0,January,3,1.0,Weekday,0.0,0.0,1,14,1.0,0.0,3,2020,13305.293476190478
2020-01-14,Main Branch,Barfi,49.0,13475.0,January,3,1.0,Weekday,1.0,0.0,1,14,1.0,0.0,3,2020,13305.293476190478
2020-01-15,North Side,Barfi,190.0,48640.0,January,3,2.0,Weekday,2.0,0.0,1,15,2.0,0.0,3,2020,46937.69033333333
2020-01-15,City Center,Barfi,187.0,44319.0,January,3,2.0,Weekday,0.0,0.0,1,15,2.0,0.0,3,2020,46937.69033333333
2020-01-15,Main Branch,Barfi,200.0,57400.0,January,3,2.0,Weekday,1.0,0.0,1,15,2.0,0.0,3,2020,46937.69033333333
2020-01-16,North Side,Barfi,49.0,12691.0,January,3,3.0,Weekday,2.0,0.0,1,16,3.0,0.0,3,2020,7790.760571428575
2020-01-16,City Center,Barfi,23.0,5313.0,January,3,3.0,Weekday,0.0,0.0,1,16,3.0,0.0,3,2020,7790.760571428575
2020-01-16,Main Branch,Barfi,15.0,3945.0,January,3,3.0,Weekday,1.0,0.0,1,16,3.0,0.0,3,2020,7790.760571428575
2020-01-17,North Side,Barfi,28.0,5376.0,January,3,4.0,Weekday,2.0,0.0,1,17,4.0,0.0,3,2020,6024.649174603176
2020-01-17,City Center,Barfi,32.0,9664.0,January,3,4.0,Weekday,0.0,0.0,1,17,4.0,0.0,3,2020,6024.649174603176
2020-01-17,Main Branch,Barfi,16.0,2896.0,January,3,4.0,Weekday,1.0,0.0,1,17,4.0,0.0,3,2020,6024.649174603176
2020-01-18,North Side,Barfi,72.0,19944.0,January,3,5.0,Weekend,2.0,0.0,1,18,5.0,1.0,3,2020,15469.69428571429
2020-01-18,City Center,Barfi,84.0,16128.0,January,3,5.0,Weekend,0.0,0.0,1,18,5.0,1.0,3,2020,15469.69428571429
2020-01-18,Main Branch,Barfi,45.0,11160.0,January,3,5.0,Weekend,1.0,0.0,1,18,5.0,1.0,3,2020,15469.69428571429
2020-01-19,North Side,Barfi,69.0,20769.0,January,3,6.0,Weekend,2.0,0.0,1,19,6.0,1.0,3,2020,14199.115833333339
2020-01-19,City Center,Barfi,48.0,12144.0,January,3,6.0,Weekend,0.0,0.0,1,19,6.0,1.0,3,2020,14199.115833333339
2020-01-19,Main Branch,Barfi,44.0,11044.0,January,3,6.0,Weekend,1.0,0.0,1,19,6.0,1.0,3,2020,14199.115833333339
2020-01-20,North Side,Barfi,19.0,3743.0,January,4,0.0,Weekday,2.0,0.0,1,20,0.0,0.0,4,2020,4671.951214285715
2020-01-20,City Center,Barfi,42.0,6342.0,January,4,0.0,Weekday,0.0,0.0,1,20,0.0,0.0,4,2020,4671.951214285715
2020-01-20,Main Branch,Barfi,18.0,2844.0,January,4,0.0,Weekday,1.0,0.0,1,20,0.0,0.0,4,2020,4671.951214285715
2020-01-21,North Side,Barfi,25.0,8550.0,January,4,1.0,Weekday,2.0,0.0,1,21,1.0,0.0,4,2020,8839.296833333334
2020-01-21,City Center,Barfi,17.0,5542.0,January,4,1.0,Weekday,0.0,0.0,1,21,1.0,0.0,4,2020,8839.296833333334
2020-01-21,Main Branch,Barfi,41.0,12751.0,January,4,1.0,Weekday,1.0,0.0,1,21,1.0,0.0,4,2020,8839.296833333334
2020-01-22,North Side,Barfi,18.0,4878.0,January,4,2.0,Weekday,2.0,0.0,1,22,2.0,0.0,4,2020,8694.651714285712
2020-01-22,City Center,Barfi,50.0,13700.0,January,4,2.0,Weekday,0.0,0.0,1,22,2.0,0.0,4,2020,8694.651714285712
2020-01-22,Main Branch,Barfi,19.0,6631.0,January,4,2.0,Weekday,1.0,0.0,1,22,2.0,0.0,4,2020,8694.651714285712
2020-01-23,North Side,Barfi,17.0,3281.0,January,4,3.0,Weekday,2.0,0.0,1,23,3.0,0.0,4,2020,6079.3355
2020-01-23,City Center,Barfi,26.0,4862.0,January,4,3.0,Weekday,0.0,0.0,1,23,3.0,0.0,4,2020,6079.3355
2020-01-23,Main Branch,Barfi,52.0,9464.0,January,4,3.0,Weekday,1.0,0.0,1,23,3.0,0.0,4,2020,6079.3355
2020-01-24,North Side,Barfi,25.0,5425.0,January,4,4.0,Weekday,2.0,0.0,1,24,4.0,0.0,4,2020,7232.319976190475
2020-01-24,City Center,Barfi,34.0,7718.0,January,4,4.0,Weekday,0.0,0.0,1,24,4.0,0.0,4,2020,7232.319976190475
